Date,Open,High,Low,Close
09/13/2024,"195.88","195.88","195.88","195.88"
09/12/2024,"194.80","194.80","194.80","194.80"
09/11/2024,"193.34","193.34","193.34","193.34"
09/10/2024,"191.30","191.30","191.30","191.30"
09/09/2024,"190.45","190.45","190.45","190.45"
09/06/2024,"188.25","188.25","188.25","188.25"
09/05/2024,"191.53","191.53","191.53","191.53"
09/04/2024,"192.10","192.10","192.10","192.10"
09/03/2024,"192.40","192.40","192.40","192.40"
08/30/2024,"196.54","196.54","196.54","196.54"
08/29/2024,"194.55","194.55","194.55","194.55"
08/28/2024,"194.55","194.55","194.55","194.55"
08/27/2024,"195.72","195.72","195.72","195.72"
08/26/2024,"195.39","195.39","195.39","195.39"
08/23/2024,"196.00","196.00","196.00","196.00"
08/22/2024,"193.77","193.77","193.77","193.77"
08/21/2024,"195.52","195.52","195.52","195.52"
08/20/2024,"194.68","194.68","194.68","194.68"
08/19/2024,"195.07","195.07","195.07","195.07"
08/16/2024,"193.17","193.17","193.17","193.17"
08/15/2024,"192.76","192.76","192.76","192.76"
08/14/2024,"189.64","189.64","189.64","189.64"
08/13/2024,"188.91","188.91","188.91","188.91"
08/12/2024,"185.78","185.78","185.78","185.78"
08/09/2024,"185.75","185.75","185.75","185.75"
08/08/2024,"184.86","184.86","184.86","184.86"
08/07/2024,"180.70","180.70","180.70","180.70"
08/06/2024,"182.10","182.10","182.10","182.10"
08/05/2024,"180.23","180.23","180.23","180.23"
08/02/2024,"185.79","185.79","185.79","185.79"
08/01/2024,"189.27","189.27","189.27","189.27"
07/31/2024,"191.89","191.89","191.89","191.89"
07/30/2024,"188.89","188.89","188.89","188.89"
07/29/2024,"189.83","189.83","189.83","189.83"
07/26/2024,"189.67","189.67","189.67","189.67"
07/25/2024,"187.58","187.58","187.58","187.58"
07/24/2024,"188.55","188.55","188.55","188.55"
07/23/2024,"193.01","193.01","193.01","193.01"
07/22/2024,"193.31","193.31","193.31","193.31"
07/19/2024,"191.24","191.24","191.24","191.24"
07/18/2024,"192.61","192.61","192.61","192.61"
07/17/2024,"194.12","194.12","194.12","194.12"
07/16/2024,"196.86","196.86","196.86","196.86"
07/15/2024,"195.61","195.61","195.61","195.61"
07/12/2024,"195.04","195.04","195.04","195.04"
07/11/2024,"193.97","193.97","193.97","193.97"
07/10/2024,"195.68","195.68","195.68","195.68"
07/09/2024,"193.68","193.68","193.68","193.68"
07/08/2024,"193.53","193.53","193.53","193.53"
07/05/2024,"193.33","193.33","193.33","193.33"
07/03/2024,"192.87","192.87","192.87","192.87"
07/02/2024,"191.89","191.89","191.89","191.89"
07/01/2024,"190.71","190.71","190.71","190.71"
06/28/2024,"190.20","190.20","190.20","190.20"
06/27/2024,"190.95","190.95","190.95","190.95"
06/26/2024,"190.78","190.78","190.78","190.78"
06/25/2024,"190.48","190.48","190.48","190.48"
06/24/2024,"189.73","189.73","189.73","189.73"
06/21/2024,"190.30","190.30","190.30","190.30"
06/20/2024,"190.59","190.59","190.59","190.59"
06/18/2024,"191.07","191.07","191.07","191.07"
06/17/2024,"190.58","190.58","190.58","190.58"
06/14/2024,"189.11","189.11","189.11","189.11"
06/13/2024,"189.14","189.14","189.14","189.14"
06/12/2024,"188.70","188.70","188.70","188.70"
06/11/2024,"187.10","187.10","187.10","187.10"
06/10/2024,"186.59","186.59","186.59","186.59"
06/07/2024,"186.10","186.10","186.10","186.10"
06/06/2024,"186.27","186.27","186.27","186.27"
06/05/2024,"186.31","186.31","186.31","186.31"
06/04/2024,"184.12","184.12","184.12","184.12"
06/03/2024,"183.84","183.84","183.84","183.84"
05/31/2024,"183.61","183.61","183.61","183.61"
05/30/2024,"182.13","182.13","182.13","182.13"
05/29/2024,"183.21","183.21","183.21","183.21"
05/28/2024,"184.56","184.56","184.56","184.56"
05/24/2024,"184.52","184.52","184.52","184.52"
05/23/2024,"183.23","183.23","183.23","183.23"
05/22/2024,"184.59","184.59","184.59","184.59"
05/21/2024,"185.09","185.09","185.09","185.09"
05/20/2024,"184.62","184.62","184.62","184.62"
05/17/2024,"184.43","184.43","184.43","184.43"
05/16/2024,"184.21","184.21","184.21","184.21"
05/15/2024,"184.56","184.56","184.56","184.56"
05/14/2024,"182.39","182.39","182.39","182.39"
05/13/2024,"181.48","181.48","181.48","181.48"
05/10/2024,"181.52","181.52","181.52","181.52"
05/09/2024,"181.20","181.20","181.20","181.20"
05/08/2024,"180.24","180.24","180.24","180.24"
05/07/2024,"180.25","180.25","180.25","180.25"
05/06/2024,"179.99","179.99","179.99","179.99"
05/03/2024,"178.15","178.15","178.15","178.15"
05/02/2024,"175.93","175.93","175.93","175.93"
05/01/2024,"174.34","174.34","174.34","174.34"
04/30/2024,"174.94","174.94","174.94","174.94"
04/29/2024,"177.73","177.73","177.73","177.73"
04/26/2024,"177.16","177.16","177.16","177.16"
04/25/2024,"175.36","175.36","175.36","175.36"
04/24/2024,"176.17","176.17","176.17","176.17"
04/23/2024,"176.13","176.13","176.13","176.13"
04/22/2024,"174.04","174.04","174.04","174.04"
04/19/2024,"172.54","172.54","172.54","172.54"
04/18/2024,"174.05","174.05","174.05","174.05"
04/17/2024,"174.43","174.43","174.43","174.43"
04/16/2024,"175.44","175.44","175.44","175.44"
04/15/2024,"175.80","175.80","175.80","175.80"
04/12/2024,"177.94","177.94","177.94","177.94"
04/11/2024,"180.55","180.55","180.55","180.55"
04/10/2024,"179.21","179.21","179.21","179.21"
04/09/2024,"180.91","180.91","180.91","180.91"
04/08/2024,"180.63","180.63","180.63","180.63"
04/05/2024,"180.69","180.69","180.69","180.69"
04/04/2024,"179.26","179.26","179.26","179.26"
04/03/2024,"181.47","181.47","181.47","181.47"
04/02/2024,"181.26","181.26","181.26","181.26"
04/01/2024,"182.58","182.58","182.58","182.58"
03/28/2024,"182.95","182.95","182.95","182.95"
03/27/2024,"182.74","182.74","182.74","182.74"
03/26/2024,"181.16","181.16","181.16","181.16"
03/25/2024,"181.66","181.66","181.66","181.66"
03/22/2024,"182.22","182.22","182.22","182.22"
03/21/2024,"182.47","182.47","182.47","182.47"
03/20/2024,"181.87","181.87","181.87","181.87"
03/19/2024,"180.25","180.25","180.25","180.25"
03/18/2024,"179.23","179.23","179.23","179.23"
03/15/2024,"178.11","178.11","178.11","178.11"
03/14/2024,"179.26","179.26","179.26","179.26"
03/13/2024,"179.73","179.73","179.73","179.73"
03/12/2024,"180.07","180.07","180.07","180.07"
03/11/2024,"178.07","178.07","178.07","178.07"
03/08/2024,"178.27","178.27","178.27","178.27"
03/07/2024,"179.43","179.43","179.43","179.43"
03/06/2024,"177.58","177.58","177.58","177.58"
03/05/2024,"176.66","176.66","176.66","176.66"
03/04/2024,"178.47","178.47","178.47","178.47"
03/01/2024,"178.68","178.68","178.68","178.68"
02/29/2024,"177.25","177.25","177.25","177.25"
02/28/2024,"176.29","176.29","176.29","176.29"
02/27/2024,"176.57","176.57","176.57","176.57"
02/26/2024,"176.26","176.26","176.26","176.26"
02/23/2024,"176.93","176.93","176.93","176.93"
02/22/2024,"176.86","176.86","176.86","176.86"
02/21/2024,"173.19","173.19","173.19","173.19"
02/20/2024,"172.97","172.97","172.97","172.97"
02/16/2024,"174.01","174.01","174.01","174.01"
02/15/2024,"174.82","174.82","174.82","174.82"
02/14/2024,"173.77","173.77","173.77","173.77"
02/13/2024,"172.09","172.09","172.09","172.09"
02/12/2024,"174.45","174.45","174.45","174.45"
02/09/2024,"174.62","174.62","174.62","174.62"
02/08/2024,"173.60","173.60","173.60","173.60"
02/07/2024,"173.48","173.48","173.48","173.48"
02/06/2024,"172.06","172.06","172.06","172.06"
02/05/2024,"171.66","171.66","171.66","171.66"
02/02/2024,"172.21","172.21","172.21","172.21"
02/01/2024,"170.38","170.38","170.38","170.38"
01/31/2024,"168.27","168.27","168.27","168.27"
01/30/2024,"171.02","171.02","171.02","171.02"
01/29/2024,"171.11","171.11","171.11","171.11"
01/26/2024,"169.82","169.82","169.82","169.82"
01/25/2024,"169.93","169.93","169.93","169.93"
01/24/2024,"169.03","169.03","169.03","169.03"
01/23/2024,"168.89","168.89","168.89","168.89"
01/22/2024,"168.40","168.40","168.40","168.40"
01/19/2024,"168.03","168.03","168.03","168.03"
01/18/2024,"165.98","165.98","165.98","165.98"
01/17/2024,"164.51","164.51","164.51","164.51"
01/16/2024,"165.44","165.44","165.44","165.44"
01/12/2024,"166.06","166.06","166.06","166.06"
01/11/2024,"165.92","165.92","165.92","165.92"
01/10/2024,"166.02","166.02","166.02","166.02"
01/09/2024,"165.09","165.09","165.09","165.09"
01/08/2024,"165.31","165.31","165.31","165.31"
01/05/2024,"163.00","163.00","163.00","163.00"
01/04/2024,"162.71","162.71","162.71","162.71"
01/03/2024,"163.24","163.24","163.24","163.24"
01/02/2024,"164.56","164.56","164.56","164.56"
12/29/2023,"165.49","165.49","165.49","165.49"
12/28/2023,"165.95","165.95","165.95","165.95"
12/27/2023,"165.87","165.87","165.87","165.87"
12/26/2023,"165.62","165.62","165.62","165.62"
12/22/2023,"164.92","164.92","164.92","164.92"
12/21/2023,"164.65","164.65","164.65","164.65"
12/20/2023,"162.97","162.97","162.97","162.97"
12/19/2023,"165.38","165.38","165.38","165.38"
12/18/2023,"164.40","164.40","164.40","164.40"
12/15/2023,"163.66","163.66","163.66","163.66"
12/14/2023,"164.36","164.36","164.36","164.36"
12/13/2023,"163.89","163.89","163.89","163.89"
12/12/2023,"161.68","161.68","161.68","161.68"
12/11/2023,"160.93","160.93","160.93","160.93"
12/08/2023,"160.30","160.30","160.30","160.30"
12/07/2023,"159.65","159.65","159.65","159.65"
12/06/2023,"158.36","158.36","158.36","158.36"
12/05/2023,"158.98","158.98","158.98","158.98"
12/04/2023,"159.06","159.06","159.06","159.06"
12/01/2023,"159.92","159.92","159.92","159.92"
11/30/2023,"158.98","158.98","158.98","158.98"
11/29/2023,"158.33","158.33","158.33","158.33"
11/28/2023,"158.45","158.45","158.45","158.45"
11/27/2023,"158.30","158.30","158.30","158.30"
11/24/2023,"158.61","158.61","158.61","158.61"
11/22/2023,"158.51","158.51","158.51","158.51"
11/21/2023,"157.86","157.86","157.86","157.86"
11/20/2023,"158.17","158.17","158.17","158.17"
11/17/2023,"157.00","157.00","157.00","157.00"
11/16/2023,"156.79","156.79","156.79","156.79"
11/15/2023,"156.57","156.57","156.57","156.57"
11/14/2023,"156.29","156.29","156.29","156.29"
11/13/2023,"153.33","153.33","153.33","153.33"
11/10/2023,"153.45","153.45","153.45","153.45"
11/09/2023,"151.07","151.07","151.07","151.07"
11/08/2023,"152.27","152.27","152.27","152.27"
11/07/2023,"152.11","152.11","152.11","152.11"
11/06/2023,"151.68","151.68","151.68","151.68"
11/03/2023,"151.41","151.41","151.41","151.41"
11/02/2023,"149.99","149.99","149.99","149.99"
11/01/2023,"147.21","147.21","147.21","147.21"
10/31/2023,"145.68","145.68","145.68","145.68"
10/30/2023,"144.73","144.73","144.73","144.73"
10/27/2023,"143.00","143.00","143.00","143.00"
10/26/2023,"143.69","143.69","143.69","143.69"
10/25/2023,"145.41","145.41","145.41","145.41"
10/24/2023,"147.52","147.52","147.52","147.52"
10/23/2023,"146.45","146.45","146.45","146.45"
10/20/2023,"146.70","146.70","146.70","146.70"
10/19/2023,"148.56","148.56","148.56","148.56"
10/18/2023,"149.82","149.82","149.82","149.82"
10/17/2023,"151.86","151.86","151.86","151.86"
10/16/2023,"151.87","151.87","151.87","151.87"
10/13/2023,"150.28","150.28","150.28","150.28"
10/12/2023,"151.03","151.03","151.03","151.03"
10/11/2023,"151.97","151.97","151.97","151.97"
10/10/2023,"151.31","151.31","151.31","151.31"
10/09/2023,"150.52","150.52","150.52","150.52"
10/06/2023,"149.58","149.58","149.58","149.58"
10/05/2023,"148.36","148.36","148.36","148.36"
10/04/2023,"148.53","148.53","148.53","148.53"
10/03/2023,"147.33","147.33","147.33","147.33"
